name,calories,protein_g,sugar_g,fat_g,cost_inr,veg
Boiled Egg,78,6.3,0.6,5.3,8,no
Chicken Breast (100g),165,31.0,0.0,3.6,45,no
Brown Rice (100g),216,4.5,0.7,1.8,12,yes
Oats (100g),389,16.9,1.0,6.9,20,yes
Banana,89,1.1,12.2,0.3,10,yes
Apple,52,0.3,10.4,0.2,30,yes
Spinach (100g),23,2.9,0.4,0.4,20,yes
Broccoli (100g),34,2.8,1.7,0.4,40,yes
Sweet Potato (100g),86,1.6,4.2,0.1,25,yes
Almonds (30g),174,6.4,1.4,15.0,60,yes
Paneer (100g),265,18.3,1.2,20.8,70,yes
Lentils (100g),116,9.0,1.8,0.4,15,yes
Chickpeas (100g),164,8.9,0.5,2.6,20,yes
Quinoa (100g),222,8.1,0.9,3.6,80,yes
Greek Yogurt (100g),59,10.0,3.2,0.4,50,yes
Milk (200ml),130,6.8,9.6,5.0,25,yes
Whey Protein (30g),120,24.0,2.0,1.5,90,yes
Peanut Butter (30g),188,8.0,3.0,16.0,30,yes
Whole Wheat Bread (slice),79,3.6,1.4,1.1,8,yes
Tuna (100g),116,26.0,0.0,1.0,80,no
Salmon (100g),208,20.1,0.0,13.4,150,no
Tofu (100g),76,8.0,0.7,4.8,35,yes
Kidney Beans (100g),127,8.7,0.3,0.5,18,yes
Cottage Cheese (100g),98,11.1,3.4,4.3,55,yes
Walnut (30g),196,4.6,1.6,19.6,80,yes
Orange,62,1.2,12.2,0.2,20,yes
Mango (100g),60,0.8,13.7,0.4,30,yes
Watermelon (100g),30,0.6,6.2,0.2,15,yes
Carrot (100g),41,0.9,4.7,0.2,15,yes
Cucumber (100g),16,0.7,1.7,0.1,10,yes
Tomato (100g),18,0.9,2.6,0.2,12,yes
Onion (100g),40,1.1,4.2,0.1,10,yes
Garlic (10g),15,0.6,1.0,0.1,5,yes
Ginger (10g),8,0.2,0.8,0.1,5,yes
Green Tea (200ml),2,0.0,0.0,0.0,10,yes
Black Coffee (200ml),5,0.3,0.0,0.1,10,yes
Coconut Water (200ml),38,0.4,8.9,0.2,30,yes
Avocado (100g),160,2.0,0.7,14.7,80,yes
Mushroom (100g),22,3.1,1.7,0.3,40,yes
Bell Pepper (100g),31,1.0,4.2,0.3,30,yes
Corn (100g),86,3.3,6.3,1.4,20,yes
Peas (100g),81,5.4,5.7,0.4,18,yes
Cabbage (100g),25,1.3,3.2,0.1,10,yes
Cauliflower (100g),25,1.9,1.9,0.3,20,yes
Beetroot (100g),43,1.6,6.8,0.2,20,yes
Pomegranate (100g),83,1.7,13.7,1.2,60,yes
Papaya (100g),43,0.5,7.8,0.3,25,yes
Pineapple (100g),50,0.5,9.9,0.1,35,yes
Strawberry (100g),32,0.7,4.9,0.3,80,yes
Blueberry (100g),57,0.7,9.9,0.3,120,yes
Kiwi (100g),61,1.1,8.8,0.5,40,yes
Grapes (100g),62,0.6,15.5,0.2,60,yes
Peach (100g),39,0.9,8.4,0.3,50,yes
Pear (100g),57,0.4,9.8,0.1,30,yes
Plum (100g),46,0.7,9.9,0.3,40,yes
Cherry (100g),50,1.0,8.5,0.3,100,yes
Fig (100g),74,0.8,16.3,0.3,60,yes
Date (30g),83,0.6,19.3,0.0,20,yes
Raisin (30g),90,0.8,19.8,0.1,20,yes
Cashew (30g),157,5.2,3.2,12.4,70,yes
Pistachio (30g),159,6.0,3.2,12.6,100,yes
Sunflower Seeds (30g),164,5.8,1.2,14.0,30,yes
Pumpkin Seeds (30g),151,8.5,0.5,13.0,40,yes
Flaxseeds (15g),80,2.7,0.2,6.3,15,yes
Chia Seeds (15g),73,2.5,0.0,4.6,40,yes
Hemp Seeds (15g),83,4.9,0.3,5.7,60,yes
Sesame Seeds (15g),86,2.7,0.2,7.9,10,yes
Coconut (100g),354,3.3,6.2,33.5,25,yes
Dark Chocolate (30g),170,2.0,9.0,12.1,50,yes
Milk Chocolate (30g),160,2.0,17.0,9.3,30,yes
Honey (15g),46,0.1,12.5,0.0,15,yes
Jaggery (15g),58,0.0,14.3,0.0,5,yes
White Rice (100g),130,2.7,0.1,0.3,8,yes
Basmati Rice (100g),121,3.5,0.1,0.4,20,yes
Pasta (100g),131,5.0,0.6,1.1,25,yes
Noodles (100g),138,4.5,0.5,2.0,15,yes
Whole Wheat Pasta (100g),124,5.3,0.6,1.1,30,yes
Roti (1 piece),70,2.7,0.5,0.4,5,yes
Paratha (1 piece),165,3.6,0.8,8.0,10,yes
Idli (2 pieces),130,3.9,0.4,0.7,15,yes
Dosa (1 piece),120,3.5,0.5,1.5,20,yes
Upma (100g),140,4.0,1.5,5.0,20,yes
Poha (100g),180,3.5,2.0,4.5,15,yes
Sambar (100g),50,2.8,3.5,1.2,10,yes
Dal (100g),93,5.8,1.3,0.5,12,yes
Rajma (100g),127,8.7,0.3,0.5,18,yes
Chole (100g),164,8.9,0.5,2.6,20,yes
Palak Paneer (100g),150,8.5,2.0,10.5,55,yes
Chicken Curry (100g),200,18.5,3.0,12.0,60,no
Fish Curry (100g),180,17.0,3.5,10.5,70,no
Egg Curry (100g),140,9.5,2.5,9.0,35,no
Mutton Curry (100g),250,19.0,2.0,17.0,120,no
Vegetable Biryani (100g),180,4.5,3.5,5.0,40,yes
Chicken Biryani (100g),250,15.0,3.5,10.0,80,no
Curd/Yogurt (100g),61,3.5,4.7,3.3,20,yes
Buttermilk (200ml),40,3.0,4.8,1.5,15,yes
Paneer Tikka (100g),265,18.3,2.0,20.8,90,yes
Sprouts (100g),95,9.0,0.0,0.5,20,yes
Soya Chunks (30g),54,9.9,0.0,0.2,15,yes
Tofu Scramble (100g),120,10.5,1.5,7.5,45,yes
Corn Flakes (30g),113,2.4,7.2,0.2,30,yes
Muesli (50g),190,5.5,8.0,4.0,50,yes
Granola (50g),220,4.5,10.0,8.0,60,yes
Protein Bar (40g),180,15.0,10.0,7.0,80,yes
Energy Bar (40g),160,4.0,14.0,6.0,60,yes
Biscuit (30g),148,2.2,8.0,7.0,15,yes
Digestive Biscuit (30g),140,2.5,6.0,5.5,20,yes
Rice Cake (30g),117,2.3,0.3,0.9,25,yes
Popcorn (30g),108,3.5,0.2,1.2,20,yes
Puffed Rice (30g),102,2.0,0.3,0.3,10,yes
Murmura (30g),105,2.2,0.5,0.5,8,yes
Trail Mix (30g),140,4.0,8.0,8.0,50,yes
Soy Milk (200ml),80,6.8,4.8,3.6,35,yes
Almond Milk (200ml),30,1.1,0.0,2.5,50,yes
Oat Milk (200ml),120,3.0,7.0,5.0,45,yes
Coconut Milk (100ml),230,2.3,3.3,23.8,30,yes
Low Fat Milk (200ml),102,7.0,9.8,2.6,22,yes
Full Fat Milk (200ml),150,7.0,9.8,8.0,25,yes
Skimmed Milk (200ml),70,7.0,9.8,0.2,22,yes
Paneer Low Fat (100g),200,17.0,1.2,13.5,65,yes
Soya Milk Sweetened (200ml),100,6.0,8.0,3.5,40,yes
Masala Chai (200ml),80,2.0,8.0,3.0,15,yes
Green Smoothie (200ml),90,2.5,10.0,1.5,40,yes
Fruit Smoothie (200ml),120,2.0,18.0,1.0,50,yes
Protein Shake (300ml),200,30.0,5.0,3.0,100,yes
Post Workout Shake (300ml),180,25.0,10.0,2.0,90,yes
Beetroot Juice (200ml),70,2.0,13.0,0.3,30,yes
Carrot Juice (200ml),80,1.8,16.0,0.4,25,yes
Orange Juice (200ml),88,1.4,17.2,0.4,30,yes
Lemon Water (200ml),10,0.1,1.0,0.0,5,yes
Sattu Drink (200ml),150,8.0,5.0,2.0,20,yes
Lassi (200ml),150,5.0,15.0,5.0,25,yes
Chaas (200ml),40,3.0,4.8,1.5,15,yes
Khichdi (100g),120,4.5,0.8,2.5,15,yes
Daliya (100g),130,5.0,0.8,1.5,15,yes
Besan Chilla (1 piece),120,6.0,2.0,4.0,15,yes
Vegetable Omelette (2 eggs),180,13.0,2.0,12.0,25,no
Paneer Sandwich,320,18.0,5.0,15.0,60,yes
Egg Sandwich,280,16.0,4.0,13.0,40,no
Chicken Sandwich,350,25.0,5.0,14.0,80,no
Veg Wrap,280,8.0,6.0,10.0,50,yes
Chicken Wrap,380,28.0,5.0,15.0,90,no
Tuna Wrap,320,26.0,4.0,12.0,100,no
Grilled Chicken Salad,200,28.0,5.0,8.0,90,no
Caesar Salad,250,12.0,3.0,18.0,80,yes
Greek Salad,150,4.0,6.0,9.0,70,yes
Fruit Salad (100g),55,0.8,11.5,0.3,40,yes
Mixed Veg Salad (100g),45,2.0,5.0,1.0,30,yes
Rajgira Ladoo (30g),130,3.5,12.0,6.0,30,yes
Chikki (30g),160,5.0,16.0,8.0,20,yes
Modak (50g),200,3.0,20.0,8.0,30,yes
Kheer (100g),150,4.0,18.0,5.0,25,yes
Rasgulla (50g),120,2.0,20.0,0.5,20,yes
Gulab Jamun (50g),175,3.0,25.0,5.0,20,yes
Chole Bhature,520,14.0,5.0,22.0,60,yes
Pav Bhaji,400,10.0,8.0,15.0,50,yes
Vada Pav,290,7.0,6.0,12.0,30,yes
Samosa (2 pieces),300,5.0,5.0,15.0,20,yes
Kachori (2 pieces),280,5.0,4.0,14.0,20,yes
Dhokla (100g),160,5.0,5.0,4.0,25,yes
Handvo (100g),180,6.0,5.0,7.0,30,yes
Thepla (2 pieces),220,5.0,3.0,9.0,20,yes
Methi Paratha (1 piece),180,4.5,1.5,8.5,12,yes
Aloo Paratha (1 piece),260,5.0,2.0,12.0,15,yes
Paneer Paratha (1 piece),280,10.0,2.5,14.0,25,yes
Moong Dal Halwa (100g),340,8.0,25.0,20.0,40,yes
Gajar Ka Halwa (100g),250,4.5,28.0,12.0,30,yes
Suji Halwa (100g),300,5.0,22.0,16.0,15,yes
Rasmalai (50g),130,4.0,15.0,6.0,35,yes
Sandesh (50g),115,4.5,12.0,5.0,40,yes
Mishti Doi (100g),130,4.0,20.0,3.5,30,yes
Litti Chokha (2 pieces),380,14.0,4.0,12.0,40,yes
Sattu Paratha (1 piece),200,8.0,1.0,6.0,15,yes
Makki ki Roti (1 piece),90,2.5,0.5,1.5,8,yes
Sarson Ka Saag (100g),60,3.5,2.0,3.5,20,yes
Baingan Bharta (100g),80,2.5,4.0,4.5,20,yes
Aloo Gobi (100g),90,2.5,3.5,4.0,20,yes
Matar Paneer (100g),180,8.5,4.0,11.5,55,yes
Navratan Korma (100g),200,7.0,5.0,14.0,70,yes
Chana Masala (100g),160,8.0,3.0,5.0,25,yes
Mix Veg (100g),100,3.0,5.0,5.5,30,yes
Kadai Chicken (100g),220,19.0,3.5,14.0,70,no
Butter Chicken (100g),230,18.5,4.0,15.0,75,no
Tandoori Chicken (100g),185,26.0,2.0,8.0,80,no
Kebab (100g),210,20.0,2.0,13.0,90,no
Fish Tikka (100g),150,22.0,2.0,5.0,100,no
Prawn Masala (100g),175,21.0,3.0,8.0,150,no
Egg Bhurji (2 eggs),200,14.0,2.5,14.0,25,no
Mushroom Masala (100g),120,4.5,3.0,7.5,50,yes
Paneer Bhurji (100g),220,14.0,2.5,16.0,70,yes
Dal Makhani (100g),160,8.5,2.5,8.5,30,yes
Dal Tadka (100g),120,7.5,2.0,4.5,20,yes
Sambar (bowl),80,3.5,5.0,2.0,15,yes
Rasam (bowl),40,1.5,4.0,0.8,10,yes
Avial (100g),150,3.0,5.0,10.0,35,yes
Kootu (100g),130,4.5,4.0,6.0,30,yes
Puttu (100g),200,4.0,1.0,2.0,20,yes
Appam (2 pieces),180,4.5,1.5,2.5,20,yes
Kerala Fish Curry (100g),200,18.0,3.5,12.0,80,no
Chettinad Chicken (100g),240,20.0,3.0,16.0,90,no
Bisi Bele Bath (100g),160,5.5,3.0,4.5,25,yes
Vangi Bath (100g),170,3.5,4.0,6.5,30,yes
Pesarattu (2 pieces),200,10.0,2.0,4.0,20,yes
Gongura Chicken (100g),220,19.5,2.5,14.0,80,no
Egg White (100g),52,11.0,0.5,0.2,8,no
Scrambled Eggs (2 eggs),148,10.0,1.0,10.0,20,no
Egg Omelette (2 eggs),154,12.0,1.0,11.0,20,no
Hard Boiled Eggs (2),156,12.6,1.2,10.6,16,no
Grilled Salmon (100g),206,20.0,0.0,13.0,150,no
Turkey Breast (100g),135,30.0,0.0,1.0,120,no
Shrimp (100g),99,24.0,0.0,0.3,150,no
Rohu Fish (100g),97,16.6,0.0,2.4,60,no
Catla Fish (100g),106,17.7,0.0,3.2,65,no
Tilapia (100g),96,20.1,0.0,1.7,70,no
Cheese Slice (25g),71,4.5,0.5,5.5,20,yes
Cheddar Cheese (30g),121,7.3,0.1,10.0,40,yes
Mozzarella (30g),85,6.3,0.7,6.3,45,yes
Butter (10g),72,0.1,0.0,8.1,8,yes
Ghee (10g),88,0.0,0.0,9.8,10,yes
Moong Dal (100g cooked),105,7.5,1.0,0.4,15,yes
Masoor Dal (100g cooked),116,9.0,1.8,0.4,15,yes
Toor Dal (100g cooked),120,7.0,1.0,0.5,15,yes
Urad Dal (100g cooked),105,7.0,0.5,0.5,18,yes
Chana Dal (100g cooked),164,8.5,2.0,2.0,18,yes
Black Beans (100g),132,8.9,0.3,0.5,20,yes
Edamame (100g),121,11.9,2.2,5.2,60,yes
Peanuts (30g),166,7.5,1.2,14.1,15,yes
Zucchini (100g),17,1.2,2.5,0.3,30,yes
Eggplant/Brinjal (100g),25,1.0,3.5,0.2,15,yes
Radish (100g),16,0.7,1.9,0.1,10,yes
Okra/Lady's Finger (100g),33,1.9,1.5,0.2,20,yes
French Beans (100g),31,1.8,3.3,0.2,30,yes
Bottle Gourd/Lauki (100g),14,0.6,1.5,0.1,15,yes
Ridge Gourd/Turai (100g),18,1.0,2.0,0.2,15,yes
Bitter Gourd/Karela (100g),17,1.0,1.5,0.2,20,yes
Cluster Beans/Gavar (100g),16,1.3,1.0,0.4,25,yes
Drumstick/Moringa (100g),37,2.1,3.5,0.2,30,yes
Yam/Suran (100g),118,1.5,0.5,0.2,25,yes
Taro/Arbi (100g),112,1.5,1.0,0.2,20,yes
Litchi (100g),66,0.8,15.2,0.4,40,yes
Jackfruit (100g),95,1.7,19.1,0.6,30,yes
Guava (100g),68,2.6,8.9,1.0,20,yes
Amla/Indian Gooseberry (100g),44,0.9,3.4,0.6,15,yes
Jamun (100g),62,0.7,14.0,0.2,30,yes
Sapota/Chikoo (100g),83,0.4,14.7,1.1,25,yes
Custard Apple (100g),94,1.7,18.0,0.6,35,yes
Dragon Fruit (100g),60,1.2,13.2,0.1,80,yes
Jowar Roti (1 piece),83,2.9,0.5,0.9,5,yes
Bajra Roti (1 piece),92,3.5,0.5,1.5,5,yes
Ragi Roti (1 piece),105,3.5,0.7,1.2,6,yes
Wheat Bran (30g),63,4.5,0.3,1.3,10,yes
Millet (100g cooked),119,3.5,0.5,1.0,20,yes
Buckwheat (100g),343,13.0,1.0,3.4,50,yes
Sabudana (100g),350,0.2,0.2,0.2,25,yes
Aloo Bhaji (100g),110,2.0,3.0,5.0,15,yes
Bhindi Masala (100g),90,2.5,2.0,5.0,25,yes
Lauki Sabzi (100g),60,1.5,2.5,3.0,15,yes
Karela Sabzi (100g),70,2.0,2.0,4.0,20,yes
Arbi Masala (100g),130,2.5,2.0,6.5,25,yes
Matki Usal (100g),110,7.0,1.5,3.0,20,yes
Misal Pav (serving),350,14.0,5.0,12.0,40,yes
Medu Vada (2 pieces),210,6.0,1.5,12.0,25,yes
Pongal (100g),150,4.5,0.8,5.0,15,yes
Lemon Rice (100g),160,3.0,1.0,5.0,15,yes
Curd Rice (100g),120,3.5,4.0,3.0,12,yes
Paruppu Curry (100g),100,5.5,1.5,2.5,15,yes
Kozhukattai (2 pieces),160,3.0,1.5,2.5,20,yes
Bhel Puri (100g),140,4.5,6.0,3.5,30,yes
Pani Puri (6 pieces),200,4.0,5.0,5.0,30,yes
Sev Puri (100g),220,5.0,5.0,8.0,30,yes
Aloo Tikki (2 pieces),200,4.0,3.0,9.0,30,yes
Bread Pakora (2 pieces),260,7.0,3.5,12.0,25,yes
Paneer Pakora (100g),280,14.5,2.0,18.0,70,yes
Masala Papad (1 piece),85,3.0,2.5,3.5,10,yes
Roasted Chana (30g),120,7.0,0.5,2.5,10,yes
Mathri (30g),150,3.0,1.0,8.0,15,yes
Khakhra (30g),130,4.0,1.0,4.5,20,yes
Paneer Grilled (100g),250,18.0,1.5,19.0,80,yes
Cottage Cheese Low Fat (100g),72,12.4,2.7,1.0,50,yes
Soya Tofu Grilled (100g),110,11.0,1.0,6.5,45,yes
Pea Protein Powder (30g),120,24.0,1.0,1.5,80,yes
Casein Protein Powder (30g),115,24.0,2.0,1.0,90,yes
Multigrain Bread (slice),70,3.0,1.5,1.0,12,yes
Sourdough Bread (slice),73,3.0,1.5,0.5,15,yes
Pancakes (100g),227,6.0,8.0,7.0,40,yes
Hummus (30g),83,2.8,0.5,5.0,30,yes
French Toast (1 slice),149,7.0,5.0,7.0,20,no
Mango Lassi (200ml),180,4.5,22.0,4.0,40,yes
Banana Shake (200ml),190,6.0,20.0,4.5,35,yes
Strawberry Smoothie (200ml),130,4.5,16.0,2.5,50,yes
Turmeric Milk (200ml),140,6.5,10.0,6.0,25,yes
Amla Juice (200ml),45,0.5,8.0,0.2,20,yes
Nimbu Paani (200ml),25,0.2,5.5,0.1,10,yes
Jaljeera (200ml),30,0.5,4.5,0.2,10,yes
Thandai (200ml),180,5.5,18.0,8.5,30,yes
Kadi Pakoda (100g),150,5.0,5.0,8.5,25,yes
Shahi Paneer (100g),250,10.5,5.0,19.0,90,yes
Paneer Butter Masala (100g),230,10.0,5.0,17.0,85,yes
Jeera Rice (100g),150,2.8,0.2,4.5,18,yes
Pulao (100g),180,4.0,1.5,6.0,25,yes
Peas Pulao (100g),190,5.5,2.0,5.5,28,yes
Shrikhand (100g),180,7.5,20.0,4.5,40,yes
Rogan Josh (100g),255,20.0,3.0,18.0,120,no
